n_components,n_estimators,max_depth,learning_rate,scale_pos_weight,avg_F1,std_F1,avg_AUROC,std_AUROC
15,100,3,0.1,1.0,0.6868,0.1745,0.8146,0.1208
15,100,3,0.1,1.33,0.7075,0.1539,0.8057,0.1264
15,100,3,0.1,2.0,0.7075,0.1539,0.8057,0.1264
15,100,3,0.3,1.0,0.683,0.1582,0.8271,0.1076
15,100,3,0.3,1.33,0.7146,0.1586,0.8057,0.1264
15,100,3,0.3,2.0,0.7612,0.173,0.8119,0.1203
15,100,4,0.01,1.0,0.6036,0.1132,0.8068,0.1209
15,100,4,0.01,1.33,0.6007,0.1389,0.7854,0.1275
15,100,4,0.01,2.0,0.5482,0.0937,0.8012,0.1478
15,100,4,0.1,1.0,0.6868,0.1745,0.8146,0.1208
15,100,4,0.1,1.33,0.7297,0.1837,0.8057,0.1264
15,100,4,0.1,2.0,0.6847,0.1323,0.8057,0.1264
15,100,4,0.3,1.0,0.683,0.1582,0.8271,0.1076
15,100,4,0.3,1.33,0.7146,0.1586,0.8057,0.1264
15,100,4,0.3,2.0,0.739,0.1459,0.8119,0.1203
15,200,2,0.01,1.0,0.694,0.1338,0.8083,0.1283
15,200,2,0.01,1.33,0.6868,0.1356,0.8083,0.1283
15,200,2,0.01,2.0,0.6699,0.0955,0.8324,0.1151
15,200,2,0.1,1.0,0.7008,0.1643,0.803,0.1283
15,200,2,0.1,1.33,0.7075,0.1539,0.8182,0.1149
15,200,2,0.1,2.0,0.7075,0.1539,0.8119,0.1203
15,200,2,0.3,1.0,0.7399,0.1858,0.8182,0.1149
15,200,2,0.3,1.33,0.7435,0.1763,0.8182,0.1149
15,200,2,0.3,2.0,0.7546,0.1842,0.8244,0.1102
15,200,3,0.01,1.0,0.6393,0.117,0.7854,0.1275
15,200,3,0.01,1.33,0.664,0.1061,0.7875,0.1293
15,200,3,0.01,2.0,0.6743,0.1057,0.8033,0.1263
15,200,3,0.1,1.0,0.6793,0.1855,0.803,0.1283
15,200,3,0.1,1.33,0.7368,0.1867,0.8119,0.1203
15,200,3,0.1,2.0,0.7008,0.1643,0.7994,0.1332
15,200,3,0.3,1.0,0.7052,0.1901,0.8271,0.1076
15,200,3,0.3,1.33,0.7146,0.1586,0.8057,0.1264
15,200,3,0.3,2.0,0.7612,0.173,0.8119,0.1203
15,200,4,0.01,1.0,0.6393,0.117,0.7854,0.1275
15,200,4,0.01,1.33,0.664,0.1061,0.8083,0.1283
15,200,4,0.01,2.0,0.6492,0.0929,0.8241,0.1075
15,200,4,0.1,1.0,0.6868,0.1745,0.803,0.1283
15,200,4,0.1,1.33,0.7368,0.1867,0.8119,0.1203
15,200,4,0.1,2.0,0.7008,0.1643,0.7994,0.1332
15,200,4,0.3,1.0,0.7052,0.1901,0.8271,0.1076
15,200,4,0.3,1.33,0.7368,0.1867,0.8057,0.1264
15,200,4,0.3,2.0,0.7612,0.173,0.8119,0.1203
